sku,name,erp_sku,erp_name
,,CFSBFDSAWG,Waterproof Grey Cushion - for Windsor Stacking Armchair 
46CK,Black Cushion - Wooden Dining Chair,,
,,1TSSMDT5_4TSSSAO ,San Marino Dining Table 160cm & 4 San Marino Stacking Armchairs - Olive 
,,1FSWPSSL_1FSWPSCT,Sussex Soft White Sofa with Lime Green Cushions & Coffee Table
,,FSBFES,Eton Sofa
,,FSBFEFB,Eton Footrest
,,1FSPRKS2WG_1FSPRKSCT ,Kingston Two seater sofa with grey waterproof cushions and Kingston Small Coffee table
PEST38,Ester Bowl,,
,,1FSPRKMTSRWG_1FSPRKMCEWG_1FSPRKMCOWG_2FSPRKMDCEWG_1FSPRKMTSLWG_1,Kingston Modular Sofa Set E with Grey Waterproof Cushions
,,FSPROAWG,Ohio Dining Armchair with Grey Waterproof Cushion
,,1FSWPSOT6_2FSWPSAK_4FSWPSDCK,"180cm Sussex Soft White Oval Table with 2 Sussex Dining Armchairs, 4 Dining Chairs & Black Cushions"
1FSPRKMTSLW_3FSPRKMDCEW_1FSPRKMCOW_1FSPRKMCHRW_1FSPRKSCT,Kingston Modular Garden Sofa Set R - 7 Piece,,
3FSBFTMCO_4FSBFTMCE_1FSBFTCT,Tilbury Modular Rattan Garden Furniture Set - 8 piece square,,
,,CFSWRMSBW,Beige Waterproof Cushion for Marlow Sunbed
,,FSAOPLABG,Paddock Lounge Armchair with Beige Cushions
,,FSCMHDAS,Hertford Dining Armchair with Sky Blue Cushions
,,1FSPRBOT9_8FSPRBAS,270cm Bali Oval Table with 8 Brighton Dining Armchairs with Standard Grey Cushions
2TSCS,Two Cadiz Sunbeds,,
,,1FSPRBRT5_1FSPRBLS70_6FSPRODCWB,150cm Bali Round Table with Lazy Susan & 6 Ohio Dining Chairs with Beige Waterproof Cushions
1FSPRKMTSR_1FSPRKMTSL_1FSPRKMCO_2FSPRKMCE_1FSPRKSCT ,Kingston Modular Garden Sofa Set B - 6 Piece,,
,,HCDR07A,Canterbury Medium Open Display Dresser
FSWPSS3-lk,Sussex Large Sofa - Soft White,,
,,YWCRNOT6,Newbury Oval Dining Table - 180cm x 110cm
,,YWCRNOT7,Newbury Oval Dining Table - 230cm x 130cm
1FSPRBRT5_6FSPROA,150cm Bali Round Table & 6 Ohio Dining Armchairs,,
,,1FSCMOOT6_6FSCMHDAY,180cm Oxford Oval Table with 6 Hertford Dining Armchairs & Silver Grey Cushions
,,YWCRNRT3,Newbury Round Dining Table - 110cm
,,1FSCMOOT6_6FSCMHDAS,180cm Oxford Oval Table with 6 Hertford Dining Armchairs & Sky Blue Cushions
